group,Ble,Fonio,Mais,Mils,Riz,Sorgho
 Benin,0,1128,1316598,23495,362589,88078
Burkina Faso,0,19887,1585418,1078570,305382,1880465
Cabo Verde,0,0,5785,0,0,0
Cote d'Ivoire,0,16810,661285,49760,1934154,50472
Gambie,0,0,33060,93799,69704,30390
Ghana,0,0,1764477,155131,569524,256736
Guinee,0,450839,672244,214147,2053359,40790
Guinee-Bissau,0,722,7321,18058,209717,26871
Liberia,0,0,0,0,270000,0
Mali,27430,30545,1635564,1854175,1977669,1468439
Niger,5666,7071,17813,2921982,87106,1320250
Nigeria,80000,81863,8422670,909560,4823330,5300270
Senegal,0,1488,225902,515365,436153,92029
Sierra Leone,0,0,40022,39351,1255559,30000
Togo,0,0,692610,64441,260418,285316
