group,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,0,1634,1354344,23668,234145,100249
Burkina Faso,0,8562,1433085,972539,347501,1707613
Cabo Verde,0,0,1065,0,0,0
Cote d'Ivoire,0,18780,680000,52275,2053520,51344
Gambie,0,0,30289,76816,46674,20289
Ghana,0,0,1762000,155000,604000,259000
Guinee,0,473334,698462,195178,1970515,38000
Guinee-Bissau,0,609,7250,10000,133000,14000
Liberia,0,0,0,0,237000,0
Mali,45668,37284,1744026,1715044,2166830,1271880
Niger,1802,3722,56597,3321752,103941,1425982
Nigeria,91300,82327,10058968,1398667,6002831,6883294
Senegal,0,2179,178732,408993,559021,102323
Sierra Leone,0,0,20812,40000,1204020,30000
Togo,0,0,833044,17542,147930,307579
