Annees,Production,Importation,Exportations
2008,14698699,29617,53
2009,10190764,12601,2786
2010,12875424,40345,9105
2011,10076390,30712,5133
2012,11562414,70848,4035
2013,10961076,30604,6939
2014,12268751,11198,9410
2015,12970760,10006,9633
2016,13451240,10521,7517
2017,12682513,4026,3770
