Annees,Production,Importation,Exportations
2008,10422947,5496303,102055
2009,10258425,5798504,299485
2010,12059103,5874011,658569
2011,12340385,7290476,144917
2012,14578501,8623461,184829
2013,14817211,8467319,250263
2014,16104147,8068938,209864
2015,16699644,6650650,173009
2016,18443406,7164443,388659
2017,17625489,8304491,130113
2018,18460494,9444539,
