Annees,Production,Importation,Exportations
2008,483327,0,0
2009,505183,0,0
2010,559875,0,0
2011,581749,0,0
2012,575721,0,0
2013,610353,0,0
2014,628431,0,92
2015,644225,0,132
2016,638011,6,112
2017,667138,0,161
2018,631576,0,
