Annees,Production,Importation,Exportations
2008,13937191,248411,7407
2009,14822148,269489,16212
2010,15267474,207756,70469
2011,16219581,178714,32626
2012,17276180,428697,89934
2013,17086995,253125,66141
2014,18871239,508170,94839
2015,20260366,480906,76000
2016,22029706,587118,52984
2017,21318606,1018913,120897
