Annees, Production,Importation
2008,16723308,28565
2009,11619935,4750
2010,13131627,14690
2011,7414052,3330
2012,9236563,9824
2013,7941785,2929
2014,8389298,3557
2015,9079099,5687
2016,9393745,6585
2017,9134076,7137
2018,10374807,7689
