Annees,Production ,Importation
2008,"13937191","248411"
2009,14822148,269489
2010,15267474,207756
2011,16219581,178714
2012,17276180,428697
2013,17086995,253125
2014,18871239,508170
2015,20260366,480906
2016,22029706,587118
2017,21318606,1018913
2018,22390091,1450708
