name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,01,0,1394,1454284,24717,278718,138391
Burkina Faso,02,0,10068,1533431,828234,325566,1365898
Cape Verde,04,0,0,4976,0,0,0
Cote d'Ivoire,03,0,20400,1025000,61600,2120000,63400
Gambia,06,0,0,38644,99650,51081,28832
Ghana,05,0,0,2011179,163484,722080,230000
Guinea,07,0,488309,817286,202422,2197907,29400
Guinea-Bissau,08,0,742,7270,15229,185550,18479
Liberia,15,0,0,0,0,247495,0
Mali,09,40137,54219,2811385,1806559,2780905,1393826
Niger,10,6003,6207,38345,3790028,112632,1945136
Nigeria,11,66151,83198,10420000,1500000,6607703,6939000
Senegal,12,0,2601,265699,569154,710794,143253
Sierra Leone,13,0,0,22418,43637,897087,30380
Togo,14,0,0,854689,26044,140519,276167
