name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,01,0,1128,1316598,23495,362589,88078
Burkina Faso,02,0,19887,1585418,1078570,305382,1880465
Cape Verde,04,0,0,5785,0,0,0
Cote d'Ivoire,03,0,16810,661285,49760,1934154,50472
Gambia,06,0,0,33060,93799,69704,30390
Ghana,05,0,0,1764477,155131,569524,256736
Guinea,07,0,450839,672244,214147,2053359,40790
Guinea-Bissau,08,0,722,7321,18058,209717,26871
Liberia,15,0,0,0,0,270000,0
Mali,09,27430,30545,1635564,1854175,1977669,1468439
Niger,10,5666,7071,17813,2921982,87106,1320250
Nigeria,11,80000,81863,8422670,909560,4823330,5300270
Senegal,12,0,1488,225902,515365,436153,92029
Sierra Leone,13,0,0,40022,39351,1255559,30000
Togo,14,0,0,692610,64441,260418,285316
