name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,1,0,815,1012630,26926,124975,168090
Burkina Faso,2,0,18315,1133452,1147894,270658,1990227
Cape Verde,4,0,0,7047,0,0,0
Cote d'Ivoire,3,0,17480,641610,48826,1206153,47702
Gambia,6,0,0,66000,158018,99890,39000
Ghana,5,0,0,1871695,218952,491603,324422
Guinea,7,0,384467,584141,234038,1613730,44770
Guinea-Bissau,8,0,524,12312,15004,209240,17592
Liberia,15,0,0,0,0,296090,0
Mali,9,10051,52346,1356043,1373342,1296154,1250868
Niger,10,5165,5467,9756,3837525,102820,1301840
Nigeria,11,110441,79087,7676850,5170430,4472520,7140970
Senegal,12,0,1374,186511,813295,604043,162599
Sierra Leone,13,0,0,51388,32768,1026671,25644
Togo,14,0,0,638129,51265,110109,244674
