name,code,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,1,0,1054,1185020,29581,216644,143792
Burkina Faso,2,0,20659,1556316,1078374,319390,1923805
Cape Verde,4,0,0,6001,0,0,0
Cote d'Ivoire,3,0,17715,654738,49316,1561905,48838
Gambia,6,0,0,30106,116089,54219,23146
Ghana,5,0,0,1949897,179684,481134,279983
Guinea,7,0,429409,641045,210880,1918841,40167
Guinea-Bissau,8,0,580,7195,16954,198504,23547
Liberia,15,0,0,0,0,291000,0
Mali,9,40071,17388,1418907,1680308,2076423,1321760
Niger,10,3114,5933,15844,3862155,71289,1375697
Nigeria,11,100000,81486,8694900,1280700,5432930,5837106
Senegal,12,0,1497,228423,662614,469649,137574
Sierra Leone,13,0,0,39237,38973,1141417,30000
Togo,14,0,0,825710,27703,160939,250892
