"age","C","YL"
"0","29.764840610059","0"
"1","29.488934245705","0"
"2","29.323822051201","0"
"3","30.63189517965","0"
"4","30.573663860975","0"
"5","30.430815201751","1.7349906400859"
"6","31.407673045547","1.9342354626477"
"7","31.597631139692","2.1634536506661"
"8","31.797330336262","2.4589384618999"
"9","32.070167595899","2.8074864743185"
"10","32.445567355344","3.220305665015"
"11","32.941915047378","3.6955707413711"
"12","33.496400095361","4.2388261083253"
"13","33.814122058153","4.8708144329427"
"14","34.316245050044","5.5757580792302"
"15","34.71936329973","6.3306891817226"
"16","34.955006935046","7.3130393678245"
"17","34.898800094773","8.3086669284913"
"18","34.503774793977","9.2787710743953"
"19","33.84517523152","10.092237817042"
"20","36.70708087505","11.089180010179"
"21","35.625117783265","12.379432048561"
"22","34.586953621229","13.558437910056"
"23","33.615122114926","14.913897001459"
"24","32.690999814306","16.390389044868"
"25","31.610651058866","17.661692653933"
"26","30.452803367696","18.520110798647"
"27","29.102011306231","19.729621928997"
"28","27.65172698468","20.980719838823"
"29","26.24370942949","21.785696078073"
"30","24.795558857775","22.859698515908"
"31","23.537658160709","24.100896715965"
"32","22.429258847243","24.848267925004"
"33","21.434450386949","25.27867657037"
"34","20.566283117916","25.645097662203"
"35","19.859666961695","25.915634181508"
"36","19.071147207424","25.851755723582"
"37","18.280993250378","25.36338878668"
"38","17.483280062861","24.595042135561"
"39","16.651189075874","23.785792599417"
"40","15.512665256244","23.013086610288"
"41","14.771669332895","22.085186865312"
"42","14.075176397129","21.467382045701"
"43","13.509404989467","21.1773298424"
"44","13.023584174542","20.751884701598"
"45","12.529996230384","20.576148116804"
"46","12.073965822756","20.334125792002"
"47","11.671154733585","20.459819522679"
"48","11.369446157186","20.605697114159"
"49","11.120219710226","20.791703834906"
"50","10.827049793163","21.138500052312"
"51","10.561020185335","21.491680407843"
"52","10.264474322683","21.722515579961"
"53","9.9460744460139","21.51030723614"
"54","9.5989818548211","20.983938216125"
"55","9.2555915106421","20.358605715469"
"56","8.9539734259138","19.793432239631"
"57","8.6126245237333","18.917868770181"
"58","8.2297193961398","17.783435905084"
"59","7.8382880396058","16.276344778054"
"60","7.4163792647893","14.62687703549"
"61","6.9929345631369","12.859877260787"
"62","6.6056664942152","11.204332692241"
"63","6.2594655106823","9.8548923229265"
"64","5.9394281439034","8.4743553926162"
"65","5.6500149497509","7.2131390281558"
"66","5.334930049932","6.2432047011984"
"67","5.0113673808982","5.4232955769361"
"68","4.6877005583687","4.7075312347781"
"69","4.3795218005234","4.0673434588898"
"70","4.0985174244113","3.5821573887836"
"71","3.8407359150645","3.2204194962447"
"72","3.5447162155838","2.9292357267527"
"73","3.2343188405578","2.7416631609586"
"74","2.9284929452256","2.5730525025228"
"75","2.6817121302543","2.3040546833515"
"76","2.5034622195179","2.0778415850166"
"77","2.3827590413911","1.8957654262541"
"78","2.3313326394149","1.8165752185039"
"79","2.3501810075747","1.8358052046449"
"80","2","1"
